"X","gross","genres","movie_title","movie_imdb_link","budget","title_year","imdb_score","Action","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","History","Horror","Music","Musical","Mystery","Romance","Sci.Fi","Sport","Thriller","War","Western","rt_score","t_gross","t_budget","t_imdb_score","t_rt_score"
19,241063875,"Action|Adventure|Fantasy","Pirates of the Caribbean: On Stranger Tides ","http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1",2.5e+08,2011,6.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,494.417204120208,498.973371873174,6.7,-0.462721010177276
20,179020854,"Action|Adventure|Comedy|Family|Fantasy|Sci-Fi","Men in Black 3 ","http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1",2.25e+08,2012,6.8,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,68,458.685508536986,485.897948556636,6.8,0.462721010177276
22,262030663,"Action|Adventure|Fantasy","The Amazing Spider-Man ","http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1",2.3e+08,2012,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,504.918244306651,488.597212953595,7,0.576382847342255
23,105219735,"Action|Adventure|Drama|History","Robin Hood ","http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1",2e+08,2010,6.7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,43,401.120567385917,471.682846001088,6.7,-0.174609938698074
24,258355354,"Adventure|Fantasy","The Hobbit: The Desolation of Smaug ","http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1",2.25e+08,2013,7.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,503.124225960505,485.897948556636,7.9,0.636036740695826
25,70083519,"Adventure|Family|Fantasy","The Golden Compass ","http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1",1.8e+08,2007,6.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,42,361.98557331893,459.316874115308,6.1,-0.19986756443194
29,65173160,"Action|Adventure|Sci-Fi|Thriller","Battleship ","http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1",2.09e+08,2012,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34,355.399266176312,476.946272172698,5.9,-0.408143511816288
30,652177271,"Action|Adventure|Sci-Fi|Thriller","Jurassic World ","http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1",1.5e+08,2015,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,71,635.221547418714,438.672767880129,7,0.547320713351646
33,408992272,"Action|Adventure|Sci-Fi","Iron Man 3 ","http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1",2e+08,2013,7.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,564.838217460828,471.682846001088,7.2,0.796498108893595
34,334185206,"Adventure|Family|Fantasy","Alice in Wonderland ","http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1",2e+08,2010,6.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,52,536.825046623923,471.682846001088,6.5,0.0496566029406726
36,268488329,"Adventure|Animation|Comedy|Family|Fantasy","Monsters University ","http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1",2e+08,2013,7.3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,78,508.025209949066,471.682846001088,7.3,0.762863921878057
37,402076689,"Action|Adventure|Sci-Fi","Transformers: Revenge of the Fallen ","http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1",2e+08,2009,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,562.418220249316,471.682846001088,6,-0.866641233146676
38,245428137,"Action|Adventure|Sci-Fi","Transformers: Age of Extinction ","http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1",2.1e+08,2014,5.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,496.657906481734,477.520537401086,5.7,-0.903356660859843
39,234903076,"Adventure|Family|Fantasy","Oz the Great and Powerful ","http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1",2.15e+08,2013,6.4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59,491.201746013337,480.361489775811,6.4,0.225253363068436
40,202853933,"Action|Adventure|Fantasy|Sci-Fi","The Amazing Spider-Man 2 ","http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1",2e+08,2014,6.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,52,473.37079893189,471.682846001088,6.7,0.0496566029406726
41,172051787,"Action|Adventure|Sci-Fi","TRON: Legacy ","http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1",1.7e+08,2010,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,454.115291355844,452.743338174171,6.8,0.0248206500144439
42,191450875,"Adventure|Animation|Comedy|Family|Sport","Cars 2 ","http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1",2e+08,2011,6.3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,39,466.515928416513,471.682846001088,6.3,-0.276481563965647
43,116593191,"Action|Adventure|Sci-Fi","Green Lantern ","http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1",2e+08,2011,5.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,411.65048200052,471.682846001088,5.6,-0.636036740695826
44,414984497,"Adventure|Animation|Comedy|Family|Fantasy","Toy Story 3 ","http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1",2e+08,2010,8.3,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,99,566.910406669768,471.682846001088,8.3,2.17402882769648
45,125320003,"Action|Adventure|Sci-Fi","Terminator Salvation ","http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1",2e+08,2009,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,419.21893548031,471.682846001088,6.6,-0.435270167048313
46,350034110,"Action|Crime|Thriller","Furious 7 ","http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1",1.9e+08,2015,7.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,79,543.12628947629,465.621954377607,7.2,0.796498108893595
47,202351611,"Action|Adventure|Horror|Sci-Fi|Thriller","World War Z ","http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1",1.9e+08,2013,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,67,473.07499883773,465.621954377607,7,0.435270167048313
48,233914986,"Action|Adventure|Fantasy|Sci-Fi|Thriller","X-Men: Days of Future Past ","http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1",2e+08,2014,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,91,490.680171728387,471.682846001088,8,1.31616457200507
49,228756232,"Action|Adventure|Sci-Fi","Star Trek Into Darkness ","http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1",1.9e+08,2013,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,487.929905322551,465.621954377607,7.8,1.06444156490296
50,65171860,"Adventure|Fantasy","Jack the Giant Slayer ","http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1",1.95e+08,2013,6.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,355.397473941054,468.681542584754,6.3,0.0496566029406726
52,90755643,"Action|Adventure|Fantasy|Romance","Prince of Persia: The Sands of Time ","http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1",2e+08,2010,6.6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,36,386.416713119975,471.682846001088,6.6,-0.354756155827213
53,101785482,"Action|Adventure|Sci-Fi","Pacific Rim ","http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1",1.9e+08,2013,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71,397.773650207307,465.621954377607,7,0.547320713351646
54,352358779,"Action|Adventure|Sci-Fi","Transformers: Dark of the Moon ","http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1",1.95e+08,2011,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,544.032438406386,468.681542584754,6.3,-0.381313958869171
55,317011114,"Action|Adventure|Fantasy","Indiana Jones and the Kingdom of the Crystal Skull ","http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1",1.85e+08,2008,6.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,529.738601553145,462.501369922712,6.2,0.730071412256723
57,237282182,"Adventure|Animation|Comedy|Family|Fantasy","Brave ","http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1",1.85e+08,2012,7.2,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,78,492.450866648492,462.501369922712,7.2,0.762863921878057
59,223806889,"Adventure|Animation|Family|Sci-Fi","WALL·E ","http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1",1.8e+08,2008,8.4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,96,485.247205741163,459.316874115308,8.4,1.70011704961397
60,140080850,"Action|Comedy|Crime|Thriller","Rush Hour 3 ","http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1",1.4e+08,2007,6.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,431.16572675989,431.102922374911,6.2,-0.903356660859843
61,166112167,"Action|Adventure|Sci-Fi","2012 ","http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1",2e+08,2009,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,450.109254086748,471.682846001088,5.8,-0.276481563965647
62,137850096,"Animation|Drama|Family|Fantasy","A Christmas Carol ","http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1",2e+08,2009,6.8,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54,429.422806098651,471.682846001088,6.8,0.0994360268467558
63,47375327,"Action|Adventure|Sci-Fi","Jupiter Ascending ","http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1",1.76e+08,2015,5.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,327.854756260068,456.721159252259,5.4,-0.636036740695826
67,533316061,"Action|Crime|Drama|Thriller","The Dark Knight ","http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1",1.85e+08,2008,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,94,603.863626910787,462.501369922712,9,1.51919717863482
68,292979556,"Adventure|Animation|Comedy|Family","Up ","http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1",1.75e+08,2009,8.3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98,519.322395203417,456.065326758241,8.3,1.96421684194863
69,198332128,"Action|Adventure|Animation|Comedy|Family|Sci-Fi","Monsters vs. Aliens ","http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1",1.75e+08,2009,6.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,72,470.688006827864,456.065326758241,6.5,0.576382847342255
70,318298180,"Action|Adventure|Sci-Fi","Iron Man ","http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1",1.4e+08,2008,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,530.279523743515,431.102922374911,7.9,1.51919717863482
71,73820094,"Adventure|Drama|Family|Mystery","Hugo ","http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1",1.7e+08,2011,7.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,94,366.769191382426,452.743338174171,7.5,1.51919717863482
73,102176165,"Action|Adventure|Fantasy|Horror|Thriller","The Mummy: Tomb of the Dragon Emperor ","http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1",1.45e+08,2008,5.2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,12,398.158628264566,434.93679870874,5.2,-1.15638246077668
75,100289690,"Comedy|Family|Fantasy","Evan Almighty ","http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1",1.75e+08,2007,5.4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23,396.289375829633,456.065326758241,5.4,-0.730071412256723
76,100189501,"Action|Adventure|Sci-Fi","Edge of Tomorrow ","http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1",1.78e+08,2014,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,396.189366483809,458.024485310055,7.9,1.31616457200507
78,150167630,"Action|Adventure|Sci-Fi|Thriller","G.I. Joe: The Rise of Cobra ","http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1",1.75e+08,2009,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,35,438.796391478091,456.065326758241,5.8,-0.381313958869171
79,356454367,"Adventure|Animation|Comedy|Drama|Family|Fantasy","Inside Out ","http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1",1.75e+08,2015,8.3,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,98,545.618036473467,456.065326758241,8.3,1.96421684194863
81,312057433,"Action|Adventure|Sci-Fi","Iron Man 2 ","http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1",2e+08,2010,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,72,527.641193430577,471.682846001088,7,0.576382847342255
82,155111815,"Action|Adventure|Drama|Fantasy","Snow White and the Huntsman ","http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1",1.7e+08,2012,6.1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,49,442.396942406712,452.743338174171,6.1,-0.0248206500144439
83,241407328,"Action|Adventure|Family|Fantasy|Romance","Maleficent ","http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1",1.8e+08,2014,7,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,50,494.594637902927,459.316874115308,7,0
84,208543795,"Action|Adventure|Drama|Sci-Fi","Dawn of the Planet of the Apes ","http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1",1.7e+08,2014,7.6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,90,476.683604802871,452.743338174171,7.6,1.25930332677631
86,38297305,"Action|Adventure|Drama|Fantasy","47 Ronin ","http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1",1.75e+08,2013,6.3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14,310.667612297263,456.065326758241,6.3,-1.06444156490296
87,259746958,"Action|Adventure|Sci-Fi","Captain America: The Winter Soldier ","http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1",1.7e+08,2014,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,503.805743759738,452.743338174171,7.8,1.20624568818228
88,238371987,"Adventure|Animation|Comedy|Family|Fantasy","Shrek Forever After ","http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1",1.65e+08,2010,6.4,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,58,493.019920426312,449.347241370941,6.4,0.19986756443194
89,93417865,"Action|Adventure|Family|Mystery|Sci-Fi","Tomorrowland ","http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1",1.9e+08,2015,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,50,389.248863088805,465.621954377607,6.5,0
90,222487711,"Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi","Big Hero 6 ","http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1",1.65e+08,2014,7.9,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,89,484.52466805716,449.347241370941,7.9,1.20624568818228
91,189412677,"Adventure|Animation|Comedy|Family|Sci-Fi","Wreck-It Ralph ","http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1",1.65e+08,2012,7.8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,86,465.258612166518,449.347241370941,7.8,1.06444156490296
94,217387997,"Adventure|Animation|Family|Fantasy","How to Train Your Dragon ","http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1",1.65e+08,2010,8.2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,98,481.700870206204,449.347241370941,8.2,1.96421684194863
96,333130696,"Action|Adventure|Sci-Fi","Guardians of the Galaxy ","http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1",1.7e+08,2014,8.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,536.397902111864,452.743338174171,8.1,1.31616457200507
97,187991439,"Adventure|Drama|Sci-Fi","Interstellar ","http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1",1.65e+08,2014,8.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,71,464.375866324471,449.347241370941,8.6,0.547320713351646
98,292568851,"Action|Adventure|Sci-Fi|Thriller","Inception ","http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1",1.6e+08,2010,8.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86,519.138897585546,445.873060152279,8.8,1.06444156490296
100,303001229,"Adventure|Fantasy","The Hobbit: An Unexpected Journey ","http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1",1.8e+08,2012,7.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,523.741307651331,459.316874115308,7.9,0.354756155827213
102,127490802,"Drama|Fantasy|Romance","The Curious Case of Benjamin Button ","http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1",1.5e+08,2008,7.8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,72,421.039903802067,438.672767880129,7.8,0.576382847342255
103,146405371,"Action|Adventure|Sci-Fi","X-Men: First Class ","http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1",1.6e+08,2011,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,435.996522122552,445.873060152279,7.8,1.06444156490296
104,281666058,"Adventure|Sci-Fi","The Hunger Games: Mockingjay - Part 2 ","http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1",1.6e+08,2015,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,514.195479718595,445.873060152279,6.6,0.518713715121462
105,63143812,"Action|Adventure|Family|Fantasy","The Sorcerer's Apprentice ","http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1",1.5e+08,2010,6.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,41,352.568267204242,438.672767880129,6.1,-0.225253363068436
106,60655503,"Action|Adventure|Drama|Thriller","Poseidon ","http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1",1.6e+08,2006,5.6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,33,349.002306836301,445.873060152279,5.6,-0.435270167048313
108,320706665,"Adventure|Animation|Comedy|Family|Fantasy","Shrek the Third ","http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1",1.6e+08,2007,6.1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,41,531.287359306408,445.873060152279,6.1,-0.225253363068436
110,89732035,"Action|Adventure|Sci-Fi","Terminator Genisys ","http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1",1.55e+08,2015,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,385.311175423675,442.316472436118,6.6,-0.666720792326638
111,104383624,"Adventure|Family|Fantasy","The Chronicles of Narnia: The Voyage of the Dawn Treader ","http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1",1.55e+08,2010,6.3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,49,400.31335230524,442.316472436118,6.3,-0.0248206500144439
113,318759914,"Action|Adventure|Sci-Fi","Transformers ","http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1",1.5e+08,2007,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,530.473179371737,438.672767880129,7.1,0.174609938698073
117,227946274,"Action|Drama","Hancock ","http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1",1.5e+08,2008,6.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,487.493881468977,438.672767880129,6.4,-0.225253363068436
118,256386216,"Drama|Horror|Sci-Fi","I Am Legend ","http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1",1.5e+08,2007,7.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,70,502.155149357873,438.672767880129,7.2,0.518713715121462
120,206435493,"Animation|Comedy|Family|Fantasy","Ratatouille ","http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1",1.5e+08,2007,8,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,96,475.46408753607,438.672767880129,8,1.70011704961397
122,179982968,"Action|Adventure|Animation|Comedy|Family","Madagascar: Escape 2 Africa ","http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1",1.5e+08,2008,6.7,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,459.305913708333,438.672767880129,6.7,0.354756155827213
123,177243721,"Adventure|Comedy|Family|Fantasy","Night at the Museum: Battle of the Smithsonian ","http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1",1.5e+08,2009,5.9,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,44,457.532943843642,438.672767880129,5.9,-0.14946323357073
124,179883016,"Action|Adventure|Fantasy|Sci-Fi|Thriller","X-Men Origins: Wolverine ","http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1",1.5e+08,2009,6.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,38,459.241577065563,438.672767880129,6.7,-0.30236184494975
